Atributi redom: trgovina, artikl, cijena, akcija, dostupan
1;3850104008597;10
1;3850139435757;20
1;3850116106052;15
1;3850102314126;9
1;7622210194046;23
1;3850108058215;500
1;5000112618266;380
2;3850116106052;17
2;3850102314126;10
2;7622210194046;24
2;3850108058215;520
2;5000112618266;340
3;3850104008597;8
3;3850139435757;17
3;3850116106052;17
3;3850102314126;9
3;7622210194046;22
3;3850108058215;400
3;5000112618266;290
4;3850104008597;10
4;3850139435757;20
4;3850116106052;15
4;7622210194046;23
5;3850116106052;15
5;7622210194046;23
5;3850108058215;500
6;3850139435757;20
6;3850108058215;500
6;5000112618266;380
7;3850104008597;10
7;3850139435757;20
7;3850116106052;15
7;3850102314126;9
7;7622210194046;23
7;3850108058215;400
7;5000112618266;380
